0.4,13.07,14.67,16.07,17.62,19.08,20.53,22.07
glucose,1.08813408503764,0.741043655052436,0.668786496864564,0.553978724214341,0.450447012952805,0.255780274350872,0.0934950756265251,0.0115718084064829
biomass,0.0102225349090557,0.150171921548177,0.172820864429695,0.225929338085618,0.258752198784812,0.307095628205641,0.368130167069456,0.410389579894887
co2,0.00314303088039521,0.160111639595346,0.193509000458511,0.227347527868216,0.269408079063366,0.313149417767988,0.359039178801728,0.396102232620104
acetate,0.344981795679525,0.337738606182598,0.346511481901122,0.353791331904948,0.353799226045356,0.354361426492207,0.367019887186855,0.362091714715727
glycerin,0.0611998509095242,0.0124399770560056,0,0,0,0,0.0126374126350392,0.014870623160394
pyruvate,0,0,0,0,0,0.0757536118612357,0.080871582540555,0.0851214891733152
ethanol,0.0204193598816674,0.122840629488986,0.129297821915614,0.145405244038216,0.178707251377152,0.208720208669057,0.245934132928445,0.229762967611123
citrate,0,0,0,0,0,0,0.0144237131462069,0.0142076922710112
carbonsum,1.52810065729781,1.52434642892355,1.51092566556951,1.50645216611134,1.51111376822349,1.514860567347,1.54155114993481,1.52411810785304
carbonbalance,1,0.997543206099461,0.988760562567473,0.98583307252498,0.98888365828966,0.99133559043537,1.0088020985874,0.997393791157837
