0,13,14.5,16,17.5,19,20.5,22
glucose,1.13734566989974,0.591839098328049,0.395285345403812,0.314523539074745,0.142385924432061,0.0222659612085892,0.0114989954328077,0
biomass,0,0.151472857774578,0.179028214595793,0.211563305789655,0.237117484441289,0.244613285354433,0.30512009777239,0.293423718186254
co2,0.0216353870825442,0.114382626742014,0.226381084320422,0.338914558526459,0.437009666417489,0.495884630036933,0.531102175799555,0.571600218183628
acetate,0.345210616146315,0.355738982167063,0.35681185373775,0.340472579641325,0.355455993981129,0.35026262919525,0.370338708551944,0.359827806645119
glycerin,0.0609041672046767,0.0404392331373553,0.0427920946594804,0.0373911614114731,0.0312330064657584,0.0189287491815077,0.0129018795121964,0.0116640109099052
pyruvate,0,0.0378101274691651,0,0,0.0541462360650686,0.0598014627304972,0.0592950968342584,0.0557115516482394
ethanol,0.0273007639899367,0.249863889575816,0.318420370683316,0.325977812988832,0.370347065682646,0.371766297251842,0.312536545874458,0.301374555349409
citrate,0,0,0,0,0,0,0.0137526614427316,0
carbonsum,1.59239660432321,1.54154681519404,1.51871896340057,1.56884295743249,1.62769537748544,1.56352301495905,1.61654616122034,1.59360186092256
carbonbalance,1,0.968067132904503,0.953731601334358,0.985208680534247,1.02216707387242,0.981867840407489,1.01516554156896,1.00075688217123
